id,Title,Facility Type,Address,Available Dates
363,Volunteer Park Court 03 - Lower,Tennis Court - Outdoor (Citywide),"Volunteer Park 1247 15th AVE E Seattle, WA, 98112","2024-10-06  06:00:00-09:00:00
2024-10-06  12:00:00-14:00:00
2024-10-06  17:30:00-22:00:00"
366,Volunteer Park Court 02 - Upper,Tennis Court - Outdoor (Citywide),"Volunteer Park 1247 15th AVE E Seattle, WA, 98112",2024-10-06  06:00:00-22:00:00
365,Volunteer Park Court 01 - Upper,Tennis Court - Outdoor (Citywide),"Volunteer Park 1247 15th AVE E Seattle, WA, 98112","2024-10-06  06:00:00-09:30:00
2024-10-06  16:30:00-22:00:00"
1400,Soundview Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Soundview Playfield (Athletics) 1590 NW 90th ST Seattle, WA, 98117",2024-10-06  08:30:00-23:00:00
1399,Soundview Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Soundview Playfield (Athletics) 1590 NW 90th ST Seattle, WA, 98117","2024-10-06  08:30:00-09:00:00
2024-10-06  10:30:00-14:00:00
2024-10-06  16:00:00-23:00:00"
1398,Solstice Park Tennis Court 06,Tennis Court - Outdoor (Citywide),"Solstice Park 7400 Fauntleroy WAY SW Seattle, WA, 98136","2024-10-06  09:59:00-10:00:00
2024-10-06  12:59:00-13:00:00
2024-10-06  15:59:00-16:00:00
2024-10-06  18:59:00-19:00:00"
1397,Solstice Park Tennis Court 05,Tennis Court - Outdoor (Citywide),"Solstice Park 7400 Fauntleroy WAY SW Seattle, WA, 98136","2024-10-06  09:59:00-10:00:00
2024-10-06  12:59:00-13:00:00
2024-10-06  15:59:00-16:00:00
2024-10-06  18:59:00-19:00:00"
1396,Solstice Park Tennis Court 04,Tennis Court - Outdoor (Citywide),"Solstice Park 7400 Fauntleroy WAY SW Seattle, WA, 98136","2024-10-06  09:59:00-10:00:00
2024-10-06  12:59:00-13:00:00
2024-10-06  15:59:00-16:00:00
2024-10-06  18:59:00-19:00:00"
1395,Solstice Park Tennis Court 03,Tennis Court - Outdoor (Citywide),"Solstice Park 7400 Fauntleroy WAY SW Seattle, WA, 98136","2024-10-06  07:00:00-10:00:00
2024-10-06  13:00:00-22:00:00"
1394,Solstice Park Tennis Court 02,Tennis Court - Outdoor (Citywide),"Solstice Park 7400 Fauntleroy WAY SW Seattle, WA, 98136",2024-10-06  07:00:00-22:00:00
1393,Solstice Park Tennis Court 01,Tennis Court - Outdoor (Citywide),"Solstice Park 7400 Fauntleroy WAY SW Seattle, WA, 98136",2024-10-06  07:00:00-22:00:00
1387,Riverview Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Riverview Playfield 7226 12th AVE SW Seattle, WA, 98106",
1386,Rainier Playfield Tennis Court 04,Tennis Court - Outdoor (Citywide),"Rainier Playfield 3700 S Alaska ST Seattle, WA, 98118",2024-10-06  07:00:00-22:00:00
1385,Rainier Playfield Tennis Court 03,Tennis Court - Outdoor (Citywide),"Rainier Playfield 3700 S Alaska ST Seattle, WA, 98118",2024-10-06  07:00:00-22:00:00
1384,Rainier Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Rainier Playfield 3700 S Alaska ST Seattle, WA, 98118",2024-10-06  07:00:00-22:00:00
1383,Rainier Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Rainier Playfield 3700 S Alaska ST Seattle, WA, 98118",2024-10-06  07:00:00-22:00:00
1382,Rainier Beach Playfield Tennis Court 04,Tennis Court - Outdoor (Citywide),"Rainier Beach Playfield 8802 Rainier AVE S Seattle, WA, 98118",2024-10-06  08:30:00-23:00:00
1381,Rainier Beach Playfield Tennis Court 03,Tennis Court - Outdoor (Citywide),"Rainier Beach Playfield 8802 Rainier AVE S Seattle, WA, 98118",2024-10-06  08:30:00-23:00:00
1380,Rainier Beach Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Rainier Beach Playfield 8802 Rainier AVE S Seattle, WA, 98118","2024-10-06  08:30:00-10:00:00
2024-10-06  12:00:00-23:00:00"
1379,Rainier Beach Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Rainier Beach Playfield 8802 Rainier AVE S Seattle, WA, 98118","2024-10-06  08:30:00-10:00:00
2024-10-06  12:00:00-23:00:00"
1120,Observatory Tennis Court 02,Tennis Court - Outdoor (Citywide),"Observatory Courts 1405 Warren AVE N Seattle, WA, 98109","2024-10-06  08:30:00-09:00:00
2024-10-06  10:30:00-11:00:00
2024-10-06  14:30:00-15:00:00
2024-10-06  16:00:00-23:00:00"
1119,Observatory Tennis Court 01,Tennis Court - Outdoor (Citywide),"Observatory Courts 1405 Warren AVE N Seattle, WA, 98109",2024-10-06  08:30:00-23:00:00
1378,Mount Baker Park Tennis Court 02,Tennis Court - Outdoor (Citywide),"Mount Baker Park 2521 Lake Park DR S Seattle, WA, 98144","2024-10-06  06:00:00-09:00:00
2024-10-06  15:00:00-22:00:00"
1377,Mount Baker Park Tennis Court 01,Tennis Court - Outdoor (Citywide),"Mount Baker Park 2521 Lake Park DR S Seattle, WA, 98144",2024-10-06  06:00:00-22:00:00
1374,Miller Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Miller Playfield 300 19th AVE E Seattle, WA, 98112","2024-10-06  07:00:00-10:00:00
2024-10-06  17:00:00-22:00:00"
1373,Miller Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Miller Playfield 300 19th AVE E Seattle, WA, 98112",2024-10-06  07:00:00-22:00:00
1372,Meadowbrook Playfield Tennis Court 06,Tennis Court - Outdoor (Citywide),"Meadowbrook Playfield 10559 RAVENNA AVE NE SEATTLE, WA, 98125",2024-10-06  07:00:00-22:00:00
1371,Meadowbrook Playfield Tennis Court 05,Tennis Court - Outdoor (Citywide),"Meadowbrook Playfield 10559 RAVENNA AVE NE SEATTLE, WA, 98125",2024-10-06  07:00:00-22:00:00
1370,Meadowbrook Playfield Tennis Court 04,Tennis Court - Outdoor (Citywide),"Meadowbrook Playfield 10559 RAVENNA AVE NE SEATTLE, WA, 98125",2024-10-06  07:00:00-22:00:00
1369,Meadowbrook Playfield Tennis Court 03,Tennis Court - Outdoor (Citywide),"Meadowbrook Playfield 10559 RAVENNA AVE NE SEATTLE, WA, 98125",2024-10-06  07:00:00-22:00:00
1368,Meadowbrook Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Meadowbrook Playfield 10559 RAVENNA AVE NE SEATTLE, WA, 98125",2024-10-06  07:00:00-22:00:00
1367,Meadowbrook Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Meadowbrook Playfield 10533 35th AVE NE Seattle, WA, 98125","2024-10-06  07:00:00-09:30:00
2024-10-06  11:30:00-20:00:00
2024-10-06  21:00:00-22:00:00"
1366,Magnolia Playfield Tennis Court 04,Tennis Court - Outdoor (Citywide),"Magnolia Playfield 2518 W 34th W Seattle, WA, 98199","2024-10-06  08:30:00-10:00:00
2024-10-06  11:00:00-14:00:00
2024-10-06  16:00:00-23:00:00"
1375,Montlake Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Montlake Playfield 1618 E Calhoun ST Seattle, WA, 98112",2024-10-06  04:00:00-23:30:00
1365,Magnolia Playfield Tennis Court 03,Tennis Court - Outdoor (Citywide),"Magnolia Playfield 2518 W 34th W Seattle, WA, 98199",2024-10-06  12:00:00-23:00:00
1364,Magnolia Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Magnolia Playfield 2518 W 34th W Seattle, WA, 98199",2024-10-06  08:30:00-23:00:00
1363,Magnolia Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Magnolia Playfield 2518 W 34th W Seattle, WA, 98199","2024-10-06  13:00:00-14:00:00
2024-10-06  15:30:00-16:30:00
2024-10-06  18:00:00-23:00:00"
1362,Magnolia Park Tennis Court 02,Tennis Court - Outdoor (Citywide),"Magnolia Park 1461 Magnolia BLVD W Seattle, WA, 98199","2024-10-06  04:00:00-16:00:00
2024-10-06  18:00:00-23:30:00"
